sample,time_s,ringIndex,ringId,surfaceValid,surfaceType,couplingQuality,distance_m,normalX,normalY,normalZ,phaseAttractionN,phaseRepulsionN,phaseDampingN,phaseTotalN,thrusterAssistN,manualThrusterN,automaticThrusterN,requestWorldX,requestWorldY,requestWorldZ,requestLocalX,requestLocalY,requestLocalZ,appliedWorldX,appliedWorldY,appliedWorldZ,appliedLocalX,appliedLocalY,appliedLocalZ,targetGimbalWorldX,targetGimbalWorldY,targetGimbalWorldZ,targetGimbalLocalX,targetGimbalLocalY,targetGimbalLocalZ,gimbalWorldX,gimbalWorldY,gimbalWorldZ,gimbalLocalX,gimbalLocalY,gimbalLocalZ,gimbalDeflection_deg,gimbalTargetError_deg,directionalAgreement01,reserveOutputScale,gimbalAtLimit,thrusterForceLimited,usingReserve,reserveDrainRate,reserveRechargeRate,couplingDemand01
10,0.1014,2,PVR_RearLeft,1,ResonantRace,1.000,2.803,-0.1220,0.9925,0.0000,0.0,26176.7,45.4,26176.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1186,0.9929,-0.0035,0.0000,1.0000,0.0000,-0.1186,0.9929,-0.0035,0.0000,1.0000,0.0000,0.00,0.00,0.0000,1.0000,0,0,0,0.000,0.000,0.062
10,0.1014,3,PVR_RearRight,1,ResonantRace,1.000,2.797,-0.1221,0.9925,0.0000,0.0,27520.4,143.2,27520.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1186,0.9929,-0.0035,0.0000,1.0000,0.0000,-0.1186,0.9929,-0.0035,0.0000,1.0000,0.0000,0.00,0.00,0.0000,1.0000,0,0,0,0.000,0.000,0.066
12,0.1214,0,PVR_FrontLeft,1,ResonantRace,1.000,2.798,-0.1140,0.9935,-0.0081,0.0,28289.0,265.2,28289.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1186,0.9929,-0.0035,0.0000,1.0000,0.0000,-0.1186,0.9929,-0.0035,0.0000,1.0000,0.0000,0.00,0.00,0.0000,1.0000,0,0,0,0.000,0.000,0.067
12,0.1214,1,PVR_FrontRight,1,ResonantRace,1.000,2.803,-0.1140,0.9935,-0.0081,0.0,26257.9,138.9,26257.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1186,0.9929,-0.0035,0.0000,1.0000,0.0000,-0.1186,0.9929,-0.0035,0.0000,1.0000,0.0000,0.00,0.00,0.0000,1.0000,0,0,0,0.000,0.000,0.063
12,0.1214,2,PVR_RearLeft,1,ResonantRace,1.000,2.803,-0.1220,0.9925,0.0000,0.0,26180.5,40.9,26180.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1186,0.9929,-0.0035,0.0000,1.0000,0.0000,-0.1186,0.9929,-0.0035,0.0000,1.0000,0.0000,0.00,0.00,0.0000,1.0000,0,0,0,0.000,0.000,0.062
12,0.1214,3,PVR_RearRight,1,ResonantRace,1.000,2.798,-0.1221,0.9925,0.0000,0.0,27270.0,-83.4,27270.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1186,0.9929,-0.0035,0.0000,1.0000,0.0000,-0.1186,0.9929,-0.0035,0.0000,1.0000,0.0000,0.00,0.00,0.0000,1.0000,0,0,0,0.000,0.000,0.065
14,0.1414,0,PVR_FrontLeft,1,ResonantRace,1.000,2.798,-0.1220,0.9925,-0.0081,0.0,26520.6,-200.1,26520.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1186,0.9929,-0.0035,0.0000,1.0000,0.0000,-0.1186,0.9929,-0.0035,0.0000,1.0000,0.0000,0.00,0.00,0.0000,1.0000,0,0,0,0.000,0.000,0.063
14,0.1414,1,PVR_FrontRight,1,ResonantRace,1.000,2.803,-0.1140,0.9935,-0.0081,0.0,25764.2,-60.7,25764.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1186,0.9929,-0.0035,0.0000,1.0000,0.0000,-0.1186,0.9929,-0.0035,0.0000,1.0000,0.0000,0.00,0.00,0.0000,1.0000,0,0,0,0.000,0.000,0.061
14,0.1414,2,PVR_RearLeft,1,ResonantRace,1.000,2.803,-0.1140,0.9935,0.0000,0.0,27090.0,251.4,27090.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1186,0.9929,-0.0035,0.0000,1.0000,0.0000,-0.1186,0.9929,-0.0035,0.0000,1.0000,0.0000,0.00,0.00,0.0000,1.0000,0,0,0,0.000,0.000,0.064
14,0.1414,3,PVR_RearRight,1,ResonantRace,1.000,2.798,-0.1140,0.9935,0.0000,0.0,28289.5,232.4,28289.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1186,0.9929,-0.0035,0.0000,1.0000,0.0000,-0.1186,0.9929,-0.0035,0.0000,1.0000,0.0000,0.00,0.00,0.0000,1.0000,0,0,0,0.000,0.000,0.067
