# thruster table: 0=Hover_FL; 1=Roof_FL; 2=Hover_FR; 3=Roof_FR; 4=Hover_RL; 5=Roof_RL; 6=Hover_RR; 7=Roof_RR; 8=Main_Rear; 9=Brake_Front; 10=Strafe_Front_Left; 11=Strafe_Back_Left; 12=Strafe_Front_Right; 13=Strafe_Back_Right
sample,time_s,thruster,reqThrottle,finalThrottle,appliedThrottle,forceN,reqPower,grantedPower,power01,ceiling,saturated,mountDirX,mountDirY,mountDirZ,targetDirX,targetDirY,targetDirZ,forceDirX,forceDirY,forceDirZ,gimbalAngle_deg
10,0.1014,13,0.0000,0.0000,0.0000,0.0,0.00,0.00,1.000,1.00,0,-0.9928,-0.1185,0.0202,-0.9928,-0.1185,0.0202,-0.9928,-0.1185,0.0202,0.00
12,0.1214,0,0.0000,0.0000,0.0000,0.0,0.00,0.00,1.000,1.00,0,-0.1186,0.9929,-0.0035,-0.1186,0.9929,-0.0035,-0.1183,0.9930,0.0000,0.20
12,0.1214,1,0.0000,0.0000,0.0000,0.0,0.00,0.00,1.000,1.00,0,0.1186,-0.9929,0.0035,0.1186,-0.9929,0.0035,0.1183,-0.9930,0.0000,0.20
12,0.1214,2,0.0000,0.0000,0.0000,0.0,0.00,0.00,1.000,1.00,0,-0.1186,0.9929,-0.0035,-0.1186,0.9929,-0.0035,-0.1183,0.9930,0.0000,0.20
12,0.1214,3,0.0000,0.0000,0.0000,0.0,0.00,0.00,1.000,1.00,0,0.1186,-0.9929,0.0035,0.1186,-0.9929,0.0035,0.1183,-0.9930,0.0000,0.20
12,0.1214,4,0.0000,0.0000,0.0000,0.0,0.00,0.00,1.000,1.00,0,-0.1186,0.9929,-0.0035,-0.1186,0.9929,-0.0035,-0.1183,0.9930,0.0000,0.20
12,0.1214,5,0.0000,0.0000,0.0000,0.0,0.00,0.00,1.000,1.00,0,0.1186,-0.9929,0.0035,0.1186,-0.9929,0.0035,0.1183,-0.9930,0.0000,0.20
12,0.1214,6,0.0000,0.0000,0.0000,0.0,0.00,0.00,1.000,1.00,0,-0.1186,0.9929,-0.0035,-0.1186,0.9929,-0.0035,-0.1183,0.9930,0.0000,0.20
12,0.1214,7,0.0000,0.0000,0.0000,0.0,0.00,0.00,1.000,1.00,0,0.1186,-0.9929,0.0035,0.1186,-0.9929,0.0035,0.1183,-0.9930,0.0000,0.20
12,0.1214,8,0.0000,0.0000,0.0000,0.0,0.00,0.00,1.000,1.00,0,0.0197,0.0058,0.9998,0.0197,0.0058,0.9998,0.0197,0.0058,0.9998,0.00
12,0.1214,9,0.0000,0.0000,0.0000,0.0,0.00,0.00,1.000,1.00,0,-0.0197,-0.0058,-0.9998,-0.0197,-0.0058,-0.9998,-0.0197,-0.0058,-0.9998,0.00
12,0.1214,10,0.0000,0.0000,0.0000,0.0,0.00,0.00,1.000,1.00,0,0.9928,0.1185,-0.0202,0.9928,0.1185,-0.0202,0.9928,0.1185,-0.0202,0.00
12,0.1214,11,0.0000,0.0000,0.0000,0.0,0.00,0.00,1.000,1.00,0,0.9928,0.1185,-0.0202,0.9928,0.1185,-0.0202,0.9928,0.1185,-0.0202,0.00
12,0.1214,12,0.0000,0.0000,0.0000,0.0,0.00,0.00,1.000,1.00,0,-0.9928,-0.1185,0.0202,-0.9928,-0.1185,0.0202,-0.9928,-0.1185,0.0202,0.00
12,0.1214,13,0.0000,0.0000,0.0000,0.0,0.00,0.00,1.000,1.00,0,-0.9928,-0.1185,0.0202,-0.9928,-0.1185,0.0202,-0.9928,-0.1185,0.0202,0.00
14,0.1414,0,0.0000,0.0000,0.0000,0.0,0.00,0.00,1.000,1.00,0,-0.1186,0.9929,-0.0035,-0.1186,0.9929,-0.0035,-0.1183,0.9930,0.0000,0.20
14,0.1414,1,0.0000,0.0000,0.0000,0.0,0.00,0.00,1.000,1.00,0,0.1186,-0.9929,0.0035,0.1186,-0.9929,0.0035,0.1183,-0.9930,0.0000,0.20
14,0.1414,2,0.0000,0.0000,0.0000,0.0,0.00,0.00,1.000,1.00,0,-0.1186,0.9929,-0.0035,-0.1186,0.9929,-0.0035,-0.1183,0.9930,0.0000,0.20
14,0.1414,3,0.0000,0.0000,0.0000,0.0,0.00,0.00,1.000,1.00,0,0.1186,-0.9929,0.0035,0.1186,-0.9929,0.0035,0.1183,-0.9930,0.0000,0.20
14,0.1414,4,0.0000,0.0000,0.0000,0.0,0.00,0.00,1.000,1.00,0,-0.1186,0.9929,-0.0035,-0.1186,0.9929,-0.0035,-0.1183,0.9930,0.0000,0.20
14,0.1414,5,0.0000,0.0000,0.0000,0.0,0.00,0.00,1.000,1.00,0,0.1186,-0.9929,0.0035,0.1186,-0.9929,0.0035,0.1183,-0.9930,0.0000,0.20
14,0.1414,6,0.0000,0.0000,0.0000,0.0,0.00,0.00,1.000,1.00,0,-0.1186,0.9929,-0.0035,-0.1186,0.9929,-0.0035,-0.1183,0.9930,0.0000,0.20
14,0.1414,7,0.0000,0.0000,0.0000,0.0,0.00,0.00,1.000,1.00,0,0.1186,-0.9929,0.0035,0.1186,-0.9929,0.0035,0.1183,-0.9930,0.0000,0.20
14,0.1414,8,0.0000,0.0000,0.0000,0.0,0.00,0.00,1.000,1.00,0,0.0197,0.0059,0.9998,0.0197,0.0059,0.9998,0.0197,0.0059,0.9998,0.00
14,0.1414,9,0.0000,0.0000,0.0000,0.0,0.00,0.00,1.000,1.00,0,-0.0197,-0.0059,-0.9998,-0.0197,-0.0059,-0.9998,-0.0197,-0.0059,-0.9998,0.00
14,0.1414,10,0.0000,0.0000,0.0000,0.0,0.00,0.00,1.000,1.00,0,0.9928,0.1185,-0.0203,0.9927,0.1185,-0.0203,0.9927,0.1185,-0.0203,0.00
14,0.1414,11,0.0000,0.0000,0.0000,0.0,0.00,0.00,1.000,1.00,0,0.9928,0.1185,-0.0203,0.9927,0.1185,-0.0203,0.9927,0.1185,-0.0203,0.00
14,0.1414,12,0.0000,0.0000,0.0000,0.0,0.00,0.00,1.000,1.00,0,-0.9928,-0.1185,0.0203,-0.9927,-0.1185,0.0203,-0.9927,-0.1185,0.0203,0.00
14,0.1414,13,0.0000,0.0000,0.0000,0.0,0.00,0.00,1.000,1.00,0,-0.9928,-0.1185,0.0203,-0.9927,-0.1185,0.0203,-0.9927,-0.1185,0.0203,0.00
16,0.1614,0,0.0000,0.0000,0.0000,0.0,0.00,0.00,1.000,1.00,0,-0.1186,0.9929,-0.0035,-0.1186,0.9929,-0.0035,-0.1183,0.9930,0.0000,0.20
16,0.1614,1,0.0000,0.0000,0.0000,0.0,0.00,0.00,1.000,1.00,0,0.1186,-0.9929,0.0035,0.1186,-0.9929,0.0035,0.1183,-0.9930,0.0000,0.20
16,0.1614,2,0.0000,0.0000,0.0000,0.0,0.00,0.00,1.000,1.00,0,-0.1186,0.9929,-0.0035,-0.1186,0.9929,-0.0035,-0.1183,0.9930,0.0000,0.20
16,0.1614,3,0.0000,0.0000,0.0000,0.0,0.00,0.00,1.000,1.00,0,0.1186,-0.9929,0.0035,0.1186,-0.9929,0.0035,0.1183,-0.9930,0.0000,0.20
16,0.1614,4,0.0000,0.0000,0.0000,0.0,0.00,0.00,1.000,1.00,0,-0.1186,0.9929,-0.0035,-0.1186,0.9929,-0.0035,-0.1183,0.9930,0.0000,0.20
16,0.1614,5,0.0000,0.0000,0.0000,0.0,0.00,0.00,1.000,1.00,0,0.1186,-0.9929,0.0035,0.1186,-0.9929,0.0035,0.1183,-0.9930,0.0000,0.20
16,0.1614,6,0.0000,0.0000,0.0000,0.0,0.00,0.00,1.000,1.00,0,-0.1186,0.9929,-0.0035,-0.1186,0.9929,-0.0035,-0.1183,0.9930,0.0000,0.20
16,0.1614,7,0.0000,0.0000,0.0000,0.0,0.00,0.00,1.000,1.00,0,0.1186,-0.9929,0.0035,0.1186,-0.9929,0.0035,0.1183,-0.9930,0.0000,0.20
16,0.1614,8,0.0000,0.0000,0.0000,0.0,0.00,0.00,1.000,1.00,0,0.0198,0.0058,0.9998,0.0198,0.0058,0.9998,0.0198,0.0058,0.9998,0.00
16,0.1614,9,0.0000,0.0000,0.0000,0.0,0.00,0.00,1.000,1.00,0,-0.0198,-0.0058,-0.9998,-0.0198,-0.0058,-0.9998,-0.0198,-0.0058,-0.9998,0.00
