# capacities: continuous 640000 N, highLoad 1280000 N, emergency 4480000 N. band: 0 Continuous 1 Performance 2 Extreme 3 Emergency 4 Saturated
sample,time_s,band,appliedCmdAvg,rawDemandAvg,requiredLoadN,dynamicLoadN,contReserveN,highReserveN,emergReserveN,curvReqMs2,curvAppliedMs2,curvClamped,availAccelMs2,accelReserveMs2,normalRate_degs,adhesionAccelMs2,adhesionForceN,adhesionLimited,airStability01,aeroN,grounded
132,1.321,0,0.000,0.000,0,0,640000,1280000,4480000,0.00,0.00,0,407.3,407.3,0.0,0.00,0,0,0.000,0,1
134,1.341,0,0.000,0.000,0,0,640000,1280000,4480000,0.00,0.00,0,407.3,407.3,0.0,0.00,0,0,0.000,0,1
136,1.361,0,0.000,0.000,0,0,640000,1280000,4480000,0.00,0.00,0,407.3,407.3,0.0,0.00,0,0,0.000,0,1
138,1.381,0,0.000,0.000,0,0,640000,1280000,4480000,0.00,0.00,0,407.3,407.3,0.0,0.00,0,0,0.000,0,1
140,1.401,0,0.000,0.000,2,2,639998,1279998,4479998,0.00,0.00,0,407.3,407.3,0.0,0.00,0,0,0.000,2,1
142,1.421,0,0.000,0.000,5,5,639995,1279995,4479995,0.00,0.00,0,407.3,407.3,0.0,0.00,0,0,0.000,5,1
144,1.441,0,0.000,0.000,9,9,639991,1279991,4479991,0.00,0.00,0,407.3,407.3,0.0,0.00,0,0,0.000,9,1
146,1.461,0,0.000,0.000,16,16,639984,1279984,4479984,0.00,0.00,0,407.3,407.3,0.0,0.00,0,0,0.000,16,1
148,1.481,0,0.000,0.000,26,26,639974,1279974,4479974,0.00,0.00,0,407.3,407.3,0.0,0.00,0,0,0.000,26,1
150,1.501,0,0.000,0.000,39,39,639961,1279961,4479961,0.00,0.00,0,407.3,407.3,0.0,0.00,0,0,0.000,39,1
152,1.521,0,0.000,0.000,58,58,639942,1279942,4479943,0.00,0.00,0,407.3,407.3,0.0,0.00,0,0,0.000,58,1
154,1.541,0,0.000,0.000,80,80,639920,1279920,4479920,0.00,0.00,0,407.3,407.3,0.0,0.00,0,0,0.000,80,1
156,1.561,0,0.000,0.000,107,107,639894,1279894,4479894,0.00,0.00,0,407.3,407.3,0.0,0.00,0,0,0.000,107,1
158,1.581,0,0.000,0.000,136,136,639864,1279864,4479864,0.00,0.00,0,407.3,407.3,0.0,0.00,0,0,0.000,136,1
160,1.601,0,0.000,0.000,170,170,639830,1279830,4479830,0.00,0.00,0,407.3,407.3,0.0,0.00,0,0,0.000,170,1
162,1.621,0,0.000,0.000,208,208,639792,1279792,4479793,0.00,0.00,0,407.3,407.3,0.0,0.00,0,0,0.000,208,1
164,1.641,0,0.000,0.000,249,249,639751,1279751,4479752,0.00,0.00,0,407.3,407.3,0.0,0.00,0,0,0.000,249,1
